group,item,sentence,question,left_answer,right_answer,correct_answer,sentence_voice,question_voice,verb_type,verb,s_voice_log_odds,q_voice_log_odds,se_log_odds
A,21,That's the monk that the butcher is greatly detested by.,Who is detested?,the butcher,the monk,the butcher,passive,passive,subjexp,detest,-5.14166355650266,-5.14166355650266,1.42651733967248
B,21,That's the monk that the butcher is greatly intrigued by.,Who is intrigued?,the butcher,the monk,the butcher,passive,passive,objexp,intrigue,-0.331777392317005,-0.331777392317005,0.289332952296451
C,21,That's the monk that the butcher is greatly detested by.,Who detests someone?,the monk,the butcher,the monk,passive,active,subjexp,detest,-5.14166355650266,5.14166355650266,1.42651733967248
D,21,That's the monk that the butcher is greatly intrigued by.,Who intrigues someone?,the monk,the butcher,the monk,passive,active,objexp,intrigue,-0.331777392317005,0.331777392317005,0.289332952296451
E,21,That's the butcher that the monk greatly detests.,Who is detested?,the monk,the butcher,the butcher,active,passive,subjexp,detest,5.14166355650266,-5.14166355650266,1.42651733967248
F,21,That's the butcher that the monk greatly intrigues.,Who is intrigued?,the monk,the butcher,the butcher,active,passive,objexp,intrigue,0.331777392317005,-0.331777392317005,0.289332952296451
G,21,That's the butcher that the monk greatly detests.,Who detests someone?,the butcher,the monk,the monk,active,active,subjexp,detest,5.14166355650266,5.14166355650266,1.42651733967248
H,21,That's the butcher that the monk greatly intrigues.,Who intrigues someone?,the butcher,the monk,the monk,active,active,objexp,intrigue,0.331777392317005,0.331777392317005,0.289332952296451
I,21,That's the monk that the butcher is greatly detested by.,Who is detested?,the monk,the butcher,the butcher,passive,passive,subjexp,detest,-5.14166355650266,-5.14166355650266,1.42651733967248
J,21,That's the monk that the butcher is greatly intrigued by.,Who is intrigued?,the monk,the butcher,the butcher,passive,passive,objexp,intrigue,-0.331777392317005,-0.331777392317005,0.289332952296451
K,21,That's the monk that the butcher is greatly detested by.,Who detests someone?,the butcher,the monk,the monk,passive,active,subjexp,detest,-5.14166355650266,5.14166355650266,1.42651733967248
L,21,That's the monk that the butcher is greatly intrigued by.,Who intrigues someone?,the butcher,the monk,the monk,passive,active,objexp,intrigue,-0.331777392317005,0.331777392317005,0.289332952296451
M,21,That's the butcher that the monk greatly detests.,Who is detested?,the butcher,the monk,the butcher,active,passive,subjexp,detest,5.14166355650266,-5.14166355650266,1.42651733967248
N,21,That's the butcher that the monk greatly intrigues.,Who is intrigued?,the butcher,the monk,the butcher,active,passive,objexp,intrigue,0.331777392317005,-0.331777392317005,0.289332952296451
O,21,That's the butcher that the monk greatly detests.,Who detests someone?,the monk,the butcher,the monk,active,active,subjexp,detest,5.14166355650266,5.14166355650266,1.42651733967248
P,21,That's the butcher that the monk greatly intrigues.,Who intrigues someone?,the monk,the butcher,the monk,active,active,objexp,intrigue,0.331777392317005,0.331777392317005,0.289332952296451
A,22,That's the auditor that the businessman greatly intrigues.,Who intrigues someone?,the auditor,the businessman,the businessman,active,active,objexp,intrigue,0.331777392317005,0.331777392317005,0.289332952296451
B,22,That's the auditor that the businessman greatly detests.,Who detests someone?,the auditor,the businessman,the businessman,active,active,subjexp,detest,5.14166355650266,5.14166355650266,1.42651733967248
C,22,That's the auditor that the businessman greatly intrigues.,Who is intrigued?,the businessman,the auditor,the auditor,active,passive,objexp,intrigue,0.331777392317005,-0.331777392317005,0.289332952296451
D,22,That's the auditor that the businessman greatly detests.,Who is detested?,the businessman,the auditor,the auditor,active,passive,subjexp,detest,5.14166355650266,-5.14166355650266,1.42651733967248
E,22,That's the businessman that the auditor is greatly intrigued by.,Who intrigues someone?,the businessman,the auditor,the businessman,passive,active,objexp,intrigue,-0.331777392317005,0.331777392317005,0.289332952296451
F,22,That's the businessman that the auditor is greatly detested by.,Who detests someone?,the businessman,the auditor,the businessman,passive,active,subjexp,detest,-5.14166355650266,5.14166355650266,1.42651733967248
G,22,That's the businessman that the auditor is greatly intrigued by.,Who is intrigued?,the auditor,the businessman,the auditor,passive,passive,objexp,intrigue,-0.331777392317005,-0.331777392317005,0.289332952296451
H,22,That's the businessman that the auditor is greatly detested by.,Who is detested?,the auditor,the businessman,the auditor,passive,passive,subjexp,detest,-5.14166355650266,-5.14166355650266,1.42651733967248
I,22,That's the auditor that the businessman greatly intrigues.,Who intrigues someone?,the businessman,the auditor,the businessman,active,active,objexp,intrigue,0.331777392317005,0.331777392317005,0.289332952296451
J,22,That's the auditor that the businessman greatly detests.,Who detests someone?,the businessman,the auditor,the businessman,active,active,subjexp,detest,5.14166355650266,5.14166355650266,1.42651733967248
K,22,That's the auditor that the businessman greatly intrigues.,Who is intrigued?,the auditor,the businessman,the auditor,active,passive,objexp,intrigue,0.331777392317005,-0.331777392317005,0.289332952296451
L,22,That's the auditor that the businessman greatly detests.,Who is detested?,the auditor,the businessman,the auditor,active,passive,subjexp,detest,5.14166355650266,-5.14166355650266,1.42651733967248
M,22,That's the businessman that the auditor is greatly intrigued by.,Who intrigues someone?,the auditor,the businessman,the businessman,passive,active,objexp,intrigue,-0.331777392317005,0.331777392317005,0.289332952296451
N,22,That's the businessman that the auditor is greatly detested by.,Who detests someone?,the auditor,the businessman,the businessman,passive,active,subjexp,detest,-5.14166355650266,5.14166355650266,1.42651733967248
O,22,That's the businessman that the auditor is greatly intrigued by.,Who is intrigued?,the businessman,the auditor,the auditor,passive,passive,objexp,intrigue,-0.331777392317005,-0.331777392317005,0.289332952296451
P,22,That's the businessman that the auditor is greatly detested by.,Who is detested?,the businessman,the auditor,the auditor,passive,passive,subjexp,detest,-5.14166355650266,-5.14166355650266,1.42651733967248
A,23,That's the reviewer that the author is strongly revered by.,Who reveres someone?,the reviewer,the author,the reviewer,passive,active,subjexp,revere,-0.587786664902119,0.587786664902119,0.426130615641849
B,23,That's the reviewer that the author is strongly repulsed by.,Who repulses someone?,the reviewer,the author,the reviewer,passive,active,objexp,repulse,0.522189382416306,-0.522189382416306,0.365505613796785
C,23,That's the author that the reviewer strongly reveres.,Who is revered?,the reviewer,the author,the author,active,passive,subjexp,revere,0.587786664902119,-0.587786664902119,0.426130615641849
D,23,That's the author that the reviewer strongly repulses.,Who is repulsed?,the reviewer,the author,the author,active,passive,objexp,repulse,-0.522189382416306,0.522189382416306,0.365505613796785
E,23,That's the author that the reviewer strongly reveres.,Who reveres someone?,the author,the reviewer,the reviewer,active,active,subjexp,revere,0.587786664902119,0.587786664902119,0.426130615641849
F,23,That's the author that the reviewer strongly repulses.,Who repulses someone?,the author,the reviewer,the reviewer,active,active,objexp,repulse,-0.522189382416306,-0.522189382416306,0.365505613796785
G,23,That's the reviewer that the author is strongly revered by.,Who is revered?,the reviewer,the author,the author,passive,passive,subjexp,revere,-0.587786664902119,-0.587786664902119,0.426130615641849
H,23,That's the reviewer that the author is strongly repulsed by.,Who is repulsed?,the reviewer,the author,the author,passive,passive,objexp,repulse,0.522189382416306,0.522189382416306,0.365505613796785
I,23,That's the reviewer that the author is strongly revered by.,Who reveres someone?,the author,the reviewer,the reviewer,passive,active,subjexp,revere,-0.587786664902119,0.587786664902119,0.426130615641849
J,23,That's the reviewer that the author is strongly repulsed by.,Who repulses someone?,the author,the reviewer,the reviewer,passive,active,objexp,repulse,0.522189382416306,-0.522189382416306,0.365505613796785
K,23,That's the author that the reviewer strongly reveres.,Who is revered?,the author,the reviewer,the author,active,passive,subjexp,revere,0.587786664902119,-0.587786664902119,0.426130615641849
L,23,That's the author that the reviewer strongly repulses.,Who is repulsed?,the author,the reviewer,the author,active,passive,objexp,repulse,-0.522189382416306,0.522189382416306,0.365505613796785
M,23,That's the author that the reviewer strongly reveres.,Who reveres someone?,the reviewer,the author,the reviewer,active,active,subjexp,revere,0.587786664902119,0.587786664902119,0.426130615641849
N,23,That's the author that the reviewer strongly repulses.,Who repulses someone?,the reviewer,the author,the reviewer,active,active,objexp,repulse,-0.522189382416306,-0.522189382416306,0.365505613796785
O,23,That's the reviewer that the author is strongly revered by.,Who is revered?,the author,the reviewer,the author,passive,passive,subjexp,revere,-0.587786664902119,-0.587786664902119,0.426130615641849
P,23,That's the reviewer that the author is strongly repulsed by.,Who is repulsed?,the author,the reviewer,the author,passive,passive,objexp,repulse,0.522189382416306,0.522189382416306,0.365505613796785
A,24,That's the carpenter that the stonemason strongly repulses.,Who is repulsed?,the stonemason,the carpenter,the carpenter,active,passive,objexp,repulse,-0.522189382416306,0.522189382416306,0.365505613796785
B,24,That's the carpenter that the stonemason strongly reveres.,Who is revered?,the stonemason,the carpenter,the carpenter,active,passive,subjexp,revere,0.587786664902119,-0.587786664902119,0.426130615641849
C,24,That's the stonemason that the carpenter is strongly repulsed by.,Who repulses someone?,the stonemason,the carpenter,the stonemason,passive,active,objexp,repulse,0.522189382416306,-0.522189382416306,0.365505613796785
D,24,That's the stonemason that the carpenter is strongly revered by.,Who reveres someone?,the stonemason,the carpenter,the stonemason,passive,active,subjexp,revere,-0.587786664902119,0.587786664902119,0.426130615641849
E,24,That's the stonemason that the carpenter is strongly repulsed by.,Who is repulsed?,the carpenter,the stonemason,the carpenter,passive,passive,objexp,repulse,0.522189382416306,0.522189382416306,0.365505613796785
F,24,That's the stonemason that the carpenter is strongly revered by.,Who is revered?,the carpenter,the stonemason,the carpenter,passive,passive,subjexp,revere,-0.587786664902119,-0.587786664902119,0.426130615641849
G,24,That's the carpenter that the stonemason strongly repulses.,Who repulses someone?,the stonemason,the carpenter,the stonemason,active,active,objexp,repulse,-0.522189382416306,-0.522189382416306,0.365505613796785
H,24,That's the carpenter that the stonemason strongly reveres.,Who reveres someone?,the stonemason,the carpenter,the stonemason,active,active,subjexp,revere,0.587786664902119,0.587786664902119,0.426130615641849
I,24,That's the carpenter that the stonemason strongly repulses.,Who is repulsed?,the carpenter,the stonemason,the carpenter,active,passive,objexp,repulse,-0.522189382416306,0.522189382416306,0.365505613796785
J,24,That's the carpenter that the stonemason strongly reveres.,Who is revered?,the carpenter,the stonemason,the carpenter,active,passive,subjexp,revere,0.587786664902119,-0.587786664902119,0.426130615641849
K,24,That's the stonemason that the carpenter is strongly repulsed by.,Who repulses someone?,the carpenter,the stonemason,the stonemason,passive,active,objexp,repulse,0.522189382416306,-0.522189382416306,0.365505613796785
L,24,That's the stonemason that the carpenter is strongly revered by.,Who reveres someone?,the carpenter,the stonemason,the stonemason,passive,active,subjexp,revere,-0.587786664902119,0.587786664902119,0.426130615641849
M,24,That's the stonemason that the carpenter is strongly repulsed by.,Who is repulsed?,the stonemason,the carpenter,the carpenter,passive,passive,objexp,repulse,0.522189382416306,0.522189382416306,0.365505613796785
N,24,That's the stonemason that the carpenter is strongly revered by.,Who is revered?,the stonemason,the carpenter,the carpenter,passive,passive,subjexp,revere,-0.587786664902119,-0.587786664902119,0.426130615641849
O,24,That's the carpenter that the stonemason strongly repulses.,Who repulses someone?,the carpenter,the stonemason,the stonemason,active,active,objexp,repulse,-0.522189382416306,-0.522189382416306,0.365505613796785
P,24,That's the carpenter that the stonemason strongly reveres.,Who reveres someone?,the carpenter,the stonemason,the stonemason,active,active,subjexp,revere,0.587786664902119,0.587786664902119,0.426130615641849
A,25,That's the priest that the reporter particularly idolizes.,Who is idolized?,the reporter,the priest,the priest,active,passive,subjexp,idolize,1.90423745265475,-1.90423745265475,0.634303989643547
B,25,That's the priest that the reporter particularly unnerves.,Who is unnerved?,the reporter,the priest,the priest,active,passive,objexp,unnerve,1.16643488500687,-1.16643488500687,0.433647371882545
C,25,That's the priest that the reporter particularly idolizes.,Who idolizes someone?,the priest,the reporter,the reporter,active,active,subjexp,idolize,1.90423745265475,1.90423745265475,0.634303989643547
D,25,That's the priest that the reporter particularly unnerves.,Who unnerves someone?,the priest,the reporter,the reporter,active,active,objexp,unnerve,1.16643488500687,1.16643488500687,0.433647371882545
E,25,That's the reporter that the priest is particularly idolized by.,Who is idolized?,the reporter,the priest,the priest,passive,passive,subjexp,idolize,-1.90423745265475,-1.90423745265475,0.634303989643547
F,25,That's the reporter that the priest is particularly unnerved by.,Who is unnerved?,the reporter,the priest,the priest,passive,passive,objexp,unnerve,-1.16643488500687,-1.16643488500687,0.433647371882545
G,25,That's the reporter that the priest is particularly idolized by.,Who idolizes someone?,the priest,the reporter,the reporter,passive,active,subjexp,idolize,-1.90423745265475,1.90423745265475,0.634303989643547
H,25,That's the reporter that the priest is particularly unnerved by.,Who unnerves someone?,the priest,the reporter,the reporter,passive,active,objexp,unnerve,-1.16643488500687,1.16643488500687,0.433647371882545
I,25,That's the priest that the reporter particularly idolizes.,Who is idolized?,the priest,the reporter,the priest,active,passive,subjexp,idolize,1.90423745265475,-1.90423745265475,0.634303989643547
J,25,That's the priest that the reporter particularly unnerves.,Who is unnerved?,the priest,the reporter,the priest,active,passive,objexp,unnerve,1.16643488500687,-1.16643488500687,0.433647371882545
K,25,That's the priest that the reporter particularly idolizes.,Who idolizes someone?,the reporter,the priest,the reporter,active,active,subjexp,idolize,1.90423745265475,1.90423745265475,0.634303989643547
L,25,That's the priest that the reporter particularly unnerves.,Who unnerves someone?,the reporter,the priest,the reporter,active,active,objexp,unnerve,1.16643488500687,1.16643488500687,0.433647371882545
M,25,That's the reporter that the priest is particularly idolized by.,Who is idolized?,the priest,the reporter,the priest,passive,passive,subjexp,idolize,-1.90423745265475,-1.90423745265475,0.634303989643547
N,25,That's the reporter that the priest is particularly unnerved by.,Who is unnerved?,the priest,the reporter,the priest,passive,passive,objexp,unnerve,-1.16643488500687,-1.16643488500687,0.433647371882545
O,25,That's the reporter that the priest is particularly idolized by.,Who idolizes someone?,the reporter,the priest,the reporter,passive,active,subjexp,idolize,-1.90423745265475,1.90423745265475,0.634303989643547
P,25,That's the reporter that the priest is particularly unnerved by.,Who unnerves someone?,the reporter,the priest,the reporter,passive,active,objexp,unnerve,-1.16643488500687,1.16643488500687,0.433647371882545
A,26,That's the millionaire that the butler is particularly unnerved by.,Who unnerves someone?,the millionaire,the butler,the millionaire,passive,active,objexp,unnerve,-1.16643488500687,1.16643488500687,0.433647371882545
B,26,That's the millionaire that the butler is particularly idolized by.,Who idolizes someone?,the millionaire,the butler,the millionaire,passive,active,subjexp,idolize,-1.90423745265475,1.90423745265475,0.634303989643547
C,26,That's the millionaire that the butler is particularly unnerved by.,Who is unnerved?,the butler,the millionaire,the butler,passive,passive,objexp,unnerve,-1.16643488500687,-1.16643488500687,0.433647371882545
D,26,That's the millionaire that the butler is particularly idolized by.,Who is idolized?,the butler,the millionaire,the butler,passive,passive,subjexp,idolize,-1.90423745265475,-1.90423745265475,0.634303989643547
E,26,That's the butler that the millionaire particularly unnerves.,Who unnerves someone?,the millionaire,the butler,the millionaire,active,active,objexp,unnerve,1.16643488500687,1.16643488500687,0.433647371882545
F,26,That's the butler that the millionaire particularly idolizes.,Who idolizes someone?,the millionaire,the butler,the millionaire,active,active,subjexp,idolize,1.90423745265475,1.90423745265475,0.634303989643547
G,26,That's the butler that the millionaire particularly unnerves.,Who is unnerved?,the butler,the millionaire,the butler,active,passive,objexp,unnerve,1.16643488500687,-1.16643488500687,0.433647371882545
H,26,That's the butler that the millionaire particularly idolizes.,Who is idolized?,the butler,the millionaire,the butler,active,passive,subjexp,idolize,1.90423745265475,-1.90423745265475,0.634303989643547
I,26,That's the millionaire that the butler is particularly unnerved by.,Who unnerves someone?,the butler,the millionaire,the millionaire,passive,active,objexp,unnerve,-1.16643488500687,1.16643488500687,0.433647371882545
J,26,That's the millionaire that the butler is particularly idolized by.,Who idolizes someone?,the butler,the millionaire,the millionaire,passive,active,subjexp,idolize,-1.90423745265475,1.90423745265475,0.634303989643547
K,26,That's the millionaire that the butler is particularly unnerved by.,Who is unnerved?,the millionaire,the butler,the butler,passive,passive,objexp,unnerve,-1.16643488500687,-1.16643488500687,0.433647371882545
L,26,That's the millionaire that the butler is particularly idolized by.,Who is idolized?,the millionaire,the butler,the butler,passive,passive,subjexp,idolize,-1.90423745265475,-1.90423745265475,0.634303989643547
M,26,That's the butler that the millionaire particularly unnerves.,Who unnerves someone?,the butler,the millionaire,the millionaire,active,active,objexp,unnerve,1.16643488500687,1.16643488500687,0.433647371882545
N,26,That's the butler that the millionaire particularly idolizes.,Who idolizes someone?,the butler,the millionaire,the millionaire,active,active,subjexp,idolize,1.90423745265475,1.90423745265475,0.634303989643547
O,26,That's the butler that the millionaire particularly unnerves.,Who is unnerved?,the millionaire,the butler,the butler,active,passive,objexp,unnerve,1.16643488500687,-1.16643488500687,0.433647371882545
P,26,That's the butler that the millionaire particularly idolizes.,Who is idolized?,the millionaire,the butler,the butler,active,passive,subjexp,idolize,1.90423745265475,-1.90423745265475,0.634303989643547
A,27,That's the scientist that the artist strongly distrusts.,Who distrusts someone?,the scientist,the artist,the artist,active,active,subjexp,distrust,3.66356164612965,3.66356164612965,1.46672494056727
B,27,That's the scientist that the artist strongly perturbs.,Who perturbs someone?,the scientist,the artist,the artist,active,active,objexp,perturb,-2.19722457733622,-2.19722457733622,0.934919287465006
C,27,That's the artist that the scientist is strongly distrusted by.,Who is distrusted?,the artist,the scientist,the scientist,passive,passive,subjexp,distrust,-3.66356164612965,-3.66356164612965,1.46672494056727
D,27,That's the artist that the scientist is strongly perturbed by.,Who is perturbed?,the artist,the scientist,the scientist,passive,passive,objexp,perturb,2.19722457733622,2.19722457733622,0.934919287465006
E,27,That's the artist that the scientist is strongly distrusted by.,Who distrusts someone?,the scientist,the artist,the artist,passive,active,subjexp,distrust,-3.66356164612965,3.66356164612965,1.46672494056727
F,27,That's the artist that the scientist is strongly perturbed by.,Who perturbs someone?,the scientist,the artist,the artist,passive,active,objexp,perturb,2.19722457733622,-2.19722457733622,0.934919287465006
G,27,That's the scientist that the artist strongly distrusts.,Who is distrusted?,the scientist,the artist,the scientist,active,passive,subjexp,distrust,3.66356164612965,-3.66356164612965,1.46672494056727
H,27,That's the scientist that the artist strongly perturbs.,Who is perturbed?,the scientist,the artist,the scientist,active,passive,objexp,perturb,-2.19722457733622,2.19722457733622,0.934919287465006
I,27,That's the scientist that the artist strongly distrusts.,Who distrusts someone?,the artist,the scientist,the artist,active,active,subjexp,distrust,3.66356164612965,3.66356164612965,1.46672494056727
J,27,That's the scientist that the artist strongly perturbs.,Who perturbs someone?,the artist,the scientist,the artist,active,active,objexp,perturb,-2.19722457733622,-2.19722457733622,0.934919287465006
K,27,That's the artist that the scientist is strongly distrusted by.,Who is distrusted?,the scientist,the artist,the scientist,passive,passive,subjexp,distrust,-3.66356164612965,-3.66356164612965,1.46672494056727
L,27,That's the artist that the scientist is strongly perturbed by.,Who is perturbed?,the scientist,the artist,the scientist,passive,passive,objexp,perturb,2.19722457733622,2.19722457733622,0.934919287465006
M,27,That's the artist that the scientist is strongly distrusted by.,Who distrusts someone?,the artist,the scientist,the artist,passive,active,subjexp,distrust,-3.66356164612965,3.66356164612965,1.46672494056727
N,27,That's the artist that the scientist is strongly perturbed by.,Who perturbs someone?,the artist,the scientist,the artist,passive,active,objexp,perturb,2.19722457733622,-2.19722457733622,0.934919287465006
O,27,That's the scientist that the artist strongly distrusts.,Who is distrusted?,the artist,the scientist,the scientist,active,passive,subjexp,distrust,3.66356164612965,-3.66356164612965,1.46672494056727
P,27,That's the scientist that the artist strongly perturbs.,Who is perturbed?,the artist,the scientist,the scientist,active,passive,objexp,perturb,-2.19722457733622,2.19722457733622,0.934919287465006
A,28,That's the guitarist that the drummer is strongly perturbed by.,Who is perturbed?,the drummer,the guitarist,the drummer,passive,passive,objexp,perturb,2.19722457733622,2.19722457733622,0.934919287465006
B,28,That's the guitarist that the drummer is strongly distrusted by.,Who is distrusted?,the drummer,the guitarist,the drummer,passive,passive,subjexp,distrust,-3.66356164612965,-3.66356164612965,1.46672494056727
C,28,That's the drummer that the guitarist strongly perturbs.,Who perturbs someone?,the guitarist,the drummer,the guitarist,active,active,objexp,perturb,-2.19722457733622,-2.19722457733622,0.934919287465006
D,28,That's the drummer that the guitarist strongly distrusts.,Who distrusts someone?,the guitarist,the drummer,the guitarist,active,active,subjexp,distrust,3.66356164612965,3.66356164612965,1.46672494056727
E,28,That's the drummer that the guitarist strongly perturbs.,Who is perturbed?,the drummer,the guitarist,the drummer,active,passive,objexp,perturb,-2.19722457733622,2.19722457733622,0.934919287465006
F,28,That's the drummer that the guitarist strongly distrusts.,Who is distrusted?,the drummer,the guitarist,the drummer,active,passive,subjexp,distrust,3.66356164612965,-3.66356164612965,1.46672494056727
G,28,That's the guitarist that the drummer is strongly perturbed by.,Who perturbs someone?,the drummer,the guitarist,the guitarist,passive,active,objexp,perturb,2.19722457733622,-2.19722457733622,0.934919287465006
H,28,That's the guitarist that the drummer is strongly distrusted by.,Who distrusts someone?,the drummer,the guitarist,the guitarist,passive,active,subjexp,distrust,-3.66356164612965,3.66356164612965,1.46672494056727
I,28,That's the guitarist that the drummer is strongly perturbed by.,Who is perturbed?,the guitarist,the drummer,the drummer,passive,passive,objexp,perturb,2.19722457733622,2.19722457733622,0.934919287465006
J,28,That's the guitarist that the drummer is strongly distrusted by.,Who is distrusted?,the guitarist,the drummer,the drummer,passive,passive,subjexp,distrust,-3.66356164612965,-3.66356164612965,1.46672494056727
K,28,That's the drummer that the guitarist strongly perturbs.,Who perturbs someone?,the drummer,the guitarist,the guitarist,active,active,objexp,perturb,-2.19722457733622,-2.19722457733622,0.934919287465006
L,28,That's the drummer that the guitarist strongly distrusts.,Who distrusts someone?,the drummer,the guitarist,the guitarist,active,active,subjexp,distrust,3.66356164612965,3.66356164612965,1.46672494056727
M,28,That's the drummer that the guitarist strongly perturbs.,Who is perturbed?,the guitarist,the drummer,the drummer,active,passive,objexp,perturb,-2.19722457733622,2.19722457733622,0.934919287465006
N,28,That's the drummer that the guitarist strongly distrusts.,Who is distrusted?,the guitarist,the drummer,the drummer,active,passive,subjexp,distrust,3.66356164612965,-3.66356164612965,1.46672494056727
O,28,That's the guitarist that the drummer is strongly perturbed by.,Who perturbs someone?,the guitarist,the drummer,the guitarist,passive,active,objexp,perturb,2.19722457733622,-2.19722457733622,0.934919287465006
P,28,That's the guitarist that the drummer is strongly distrusted by.,Who distrusts someone?,the guitarist,the drummer,the guitarist,passive,active,subjexp,distrust,-3.66356164612965,3.66356164612965,1.46672494056727
A,29,That's the judge that the lawyer is greatly esteemed by.,Who is esteemed?,the judge,the lawyer,the lawyer,passive,passive,subjexp,esteem,-2.56494935746154,-2.56494935746154,1.56190922897601
B,29,That's the judge that the lawyer is greatly appalled by.,Who is appalled?,the judge,the lawyer,the lawyer,passive,passive,objexp,appall,0.284736562222024,0.284736562222024,0.247851865054459
C,29,That's the judge that the lawyer is greatly esteemed by.,Who esteems someone?,the lawyer,the judge,the judge,passive,active,subjexp,esteem,-2.56494935746154,2.56494935746154,1.56190922897601
D,29,That's the judge that the lawyer is greatly appalled by.,Who appalls someone?,the lawyer,the judge,the judge,passive,active,objexp,appall,0.284736562222024,-0.284736562222024,0.247851865054459
E,29,That's the lawyer that the judge greatly esteems.,Who is esteemed?,the lawyer,the judge,the lawyer,active,passive,subjexp,esteem,2.56494935746154,-2.56494935746154,1.56190922897601
F,29,That's the lawyer that the judge greatly appalls.,Who is appalled?,the lawyer,the judge,the lawyer,active,passive,objexp,appall,-0.284736562222024,0.284736562222024,0.247851865054459
G,29,That's the lawyer that the judge greatly esteems.,Who esteems someone?,the judge,the lawyer,the judge,active,active,subjexp,esteem,2.56494935746154,2.56494935746154,1.56190922897601
H,29,That's the lawyer that the judge greatly appalls.,Who appalls someone?,the judge,the lawyer,the judge,active,active,objexp,appall,-0.284736562222024,-0.284736562222024,0.247851865054459
I,29,That's the judge that the lawyer is greatly esteemed by.,Who is esteemed?,the lawyer,the judge,the lawyer,passive,passive,subjexp,esteem,-2.56494935746154,-2.56494935746154,1.56190922897601
J,29,That's the judge that the lawyer is greatly appalled by.,Who is appalled?,the lawyer,the judge,the lawyer,passive,passive,objexp,appall,0.284736562222024,0.284736562222024,0.247851865054459
K,29,That's the judge that the lawyer is greatly esteemed by.,Who esteems someone?,the judge,the lawyer,the judge,passive,active,subjexp,esteem,-2.56494935746154,2.56494935746154,1.56190922897601
L,29,That's the judge that the lawyer is greatly appalled by.,Who appalls someone?,the judge,the lawyer,the judge,passive,active,objexp,appall,0.284736562222024,-0.284736562222024,0.247851865054459
M,29,That's the lawyer that the judge greatly esteems.,Who is esteemed?,the judge,the lawyer,the lawyer,active,passive,subjexp,esteem,2.56494935746154,-2.56494935746154,1.56190922897601
N,29,That's the lawyer that the judge greatly appalls.,Who is appalled?,the judge,the lawyer,the lawyer,active,passive,objexp,appall,-0.284736562222024,0.284736562222024,0.247851865054459
O,29,That's the lawyer that the judge greatly esteems.,Who esteems someone?,the lawyer,the judge,the judge,active,active,subjexp,esteem,2.56494935746154,2.56494935746154,1.56190922897601
P,29,That's the lawyer that the judge greatly appalls.,Who appalls someone?,the lawyer,the judge,the judge,active,active,objexp,appall,-0.284736562222024,-0.284736562222024,0.247851865054459
A,30,That's the florist that the gardener greatly appalls.,Who appalls someone?,the gardener,the florist,the gardener,active,active,objexp,appall,-0.284736562222024,-0.284736562222024,0.247851865054459
B,30,That's the florist that the gardener greatly esteems.,Who esteems someone?,the gardener,the florist,the gardener,active,active,subjexp,esteem,2.56494935746154,2.56494935746154,1.56190922897601
C,30,That's the florist that the gardener greatly appalls.,Who is appalled?,the florist,the gardener,the florist,active,passive,objexp,appall,-0.284736562222024,0.284736562222024,0.247851865054459
D,30,That's the florist that the gardener greatly esteems.,Who is esteemed?,the florist,the gardener,the florist,active,passive,subjexp,esteem,2.56494935746154,-2.56494935746154,1.56190922897601
E,30,That's the gardener that the florist is greatly appalled by.,Who appalls someone?,the florist,the gardener,the gardener,passive,active,objexp,appall,0.284736562222024,-0.284736562222024,0.247851865054459
F,30,That's the gardener that the florist is greatly esteemed by.,Who esteems someone?,the florist,the gardener,the gardener,passive,active,subjexp,esteem,-2.56494935746154,2.56494935746154,1.56190922897601
G,30,That's the gardener that the florist is greatly appalled by.,Who is appalled?,the gardener,the florist,the florist,passive,passive,objexp,appall,0.284736562222024,0.284736562222024,0.247851865054459
H,30,That's the gardener that the florist is greatly esteemed by.,Who is esteemed?,the gardener,the florist,the florist,passive,passive,subjexp,esteem,-2.56494935746154,-2.56494935746154,1.56190922897601
I,30,That's the florist that the gardener greatly appalls.,Who appalls someone?,the florist,the gardener,the gardener,active,active,objexp,appall,-0.284736562222024,-0.284736562222024,0.247851865054459
J,30,That's the florist that the gardener greatly esteems.,Who esteems someone?,the florist,the gardener,the gardener,active,active,subjexp,esteem,2.56494935746154,2.56494935746154,1.56190922897601
K,30,That's the florist that the gardener greatly appalls.,Who is appalled?,the gardener,the florist,the florist,active,passive,objexp,appall,-0.284736562222024,0.284736562222024,0.247851865054459
L,30,That's the florist that the gardener greatly esteems.,Who is esteemed?,the gardener,the florist,the florist,active,passive,subjexp,esteem,2.56494935746154,-2.56494935746154,1.56190922897601
M,30,That's the gardener that the florist is greatly appalled by.,Who appalls someone?,the gardener,the florist,the gardener,passive,active,objexp,appall,0.284736562222024,-0.284736562222024,0.247851865054459
N,30,That's the gardener that the florist is greatly esteemed by.,Who esteems someone?,the gardener,the florist,the gardener,passive,active,subjexp,esteem,-2.56494935746154,2.56494935746154,1.56190922897601
O,30,That's the gardener that the florist is greatly appalled by.,Who is appalled?,the florist,the gardener,the florist,passive,passive,objexp,appall,0.284736562222024,0.284736562222024,0.247851865054459
P,30,That's the gardener that the florist is greatly esteemed by.,Who is esteemed?,the florist,the gardener,the florist,passive,passive,subjexp,esteem,-2.56494935746154,-2.56494935746154,1.56190922897601
A,31,That's the consultant that the client is really respected by.,Who respects someone?,the client,the consultant,the consultant,passive,active,subjexp,respect,-2.47560425712569,2.47560425712569,0.524782402170613
